State,Jul 2019 (no.),Jul 2022 (no.),Jul 2023 (no.),Jul 2024 (no.),,,,
New South Wales,"268,050","107,570","233,530","234,450",,,,
Victoria,"201,930","81,840","153,260","161,390",,,,
Queensland,"206,910","81,880","152,860","171,360",,,,
South Australia,"21,950","10,840","18,490","15,820",,,,
Western Australia,"65,260","32,050","46,450","56,420",,,,
Tasmania,"5,670","2,660","4,150","3,900",,,,
Northern Territory,"9,460","3,210","5,520","6,740",,,,
Australian Capital Territory,"11,130","5,600","10,780","8,810",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,Source:https://www.abs.gov.au/statistics/industry/tourism-and-transport/overseas-arrivals-and-departures-australia/latest-release#visitor-arrivals-state-and-territory,,,
